LotFrontage,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtFinSF1,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,TotalBathrooms,TotalSF,HouseAge,RemodAge,PricePerSF,SalePrice
69.0,5,1955,1993,0.0,2,1,3,379,1617,0,1867,0,1867,1,3,7,3,2,1955.0,0,1,303,476,0,2,3484,54,16,54.53501722158438,190000
86.0,8,2007,2007,300.0,2,2,0,1288,1582,0,1610,551,2161,1,0,8,1,2,2007.0,0,3,789,178,120,3,3743,0,0,86.99545818861876,325624
62.0,7,2004,2004,0.0,2,2,2,0,840,0,840,880,1720,2,2,7,1,2,2004.0,0,2,440,100,48,3,2560,3,3,71.6796875,183500
69.0,8,1981,1981,653.0,2,1,2,0,1686,4,1707,0,1707,2,3,6,1,4,1981.0,1,2,511,574,64,3,3393,25,25,67.1971706454465,228000
69.0,5,1941,1950,0.0,3,1,3,360,720,4,854,0,1382,1,3,7,0,5,1991.0,2,2,660,237,0,2,2102,66,57,61.132254995242626,128500
141.0,6,1960,1960,112.0,3,1,3,639,1080,1,1656,0,1656,1,3,7,2,2,1960.0,0,2,528,210,62,2,2736,50,50,78.58187134502924,215000
44.0,7,1987,1987,0.0,2,2,2,495,1064,2,1064,703,1767,2,2,5,1,4,1987.0,1,2,504,441,35,3,2831,19,19,84.42246555987283,239000
80.0,6,1961,1961,491.0,3,1,3,288,1362,4,1362,0,1362,1,3,6,1,4,1961.0,2,2,504,0,20,3,2724,47,47,59.838472834067545,163000
47.0,6,1986,1986,132.0,3,1,2,1398,1606,4,1651,0,1651,2,3,7,1,4,1986.0,0,2,616,192,0,3,3257,22,22,56.493705864292295,184000
84.0,6,1950,2001,0.0,3,1,3,477,1202,4,2158,0,2158,2,2,7,1,2,1950.0,2,2,576,0,29,3,3360,57,6,72.32142857142857,243000
97.0,6,1988,1989,268.0,2,2,2,831,1151,4,1164,896,2060,2,3,8,1,4,1988.0,2,2,521,0,228,4,3211,19,18,65.71161631890376,211000
69.0,5,1958,1958,0.0,2,1,3,57,1052,0,1252,668,1920,2,2,8,1,2,1958.0,2,2,451,0,0,3,2972,48,48,58.04172274562584,172500
63.0,9,2008,2009,748.0,0,2,0,1904,2216,0,2234,0,2234,2,0,9,1,2,2009.0,0,3,1166,0,60,3,4450,1,0,112.7723595505618,501837
60.0,5,1923,2006,0.0,2,1,3,0,968,4,968,0,968,1,3,5,0,5,1935.0,2,2,480,0,0,1,1936,84,1,51.65289256198347,100000
69.0,6,2000,2000,456.0,2,2,2,436,756,0,769,756,1525,2,2,5,1,4,2000.0,2,2,440,0,0,3,2281,7,7,77.59754493643139,177000
54.0,7,1920,1950,0.0,3,0,1,352,793,2,901,901,1802,1,3,9,1,2,1920.0,2,1,216,0,0,2,2595,86,56,77.10982658959537,200100
60.0,5,1957,2006,98.0,3,2,3,0,0,0,1340,0,1340,1,3,7,1,2,1957.0,1,1,252,116,0,1,1340,50,1,89.55223880597015,120000
63.0,7,2003,2003,0.0,3,2,2,0,1362,0,1362,720,2082,2,2,6,0,5,2003.0,2,2,484,280,238,3,3444,5,5,58.07200929152149,200000
92.0,5,1908,1991,0.0,3,2,1,0,504,2,936,316,1252,1,3,5,0,5,1986.0,2,2,576,104,0,1,1756,98,15,72.32346241457859,127000
90.0,10,1892,1993,0.0,2,0,3,0,1107,0,1518,1518,3608,2,0,12,2,4,1993.0,2,3,840,0,260,3,4715,114,13,100.7423117709438,475000
69.0,7,1990,1991,0.0,3,2,2,611,1188,0,1217,0,1217,2,2,6,0,5,1990.0,2,2,497,168,27,3,2405,19,18,71.93347193347194,173000
60.0,5,1916,1987,0.0,3,1,1,0,660,0,808,704,1656,2,3,8,0,5,1916.0,2,1,180,0,0,3,2316,93,22,58.29015544041451,135000
64.0,5,1979,1979,275.0,3,1,2,1086,1086,4,1224,0,1224,0,3,6,2,4,1979.0,2,2,528,120,0,4,2310,30,30,66.37965367965369,153337
41.0,8,2001,2002,0.0,2,2,0,1153,1593,0,1593,0,1593,1,0,5,1,2,2001.0,0,2,682,0,120,3,3186,7,6,89.76773383553045,286000
70.0,8,1932,1994,0.0,2,1,2,297,853,4,1549,1178,2727,2,2,10,2,4,1932.0,2,2,440,0,74,3,3580,75,13,87.98882681564245,315000
69.0,7,1972,2004,138.0,3,1,3,626,725,2,725,754,1479,1,2,7,0,5,1972.0,0,2,484,0,32,3,2204,35,3,83.48457350272233,184000
68.0,7,1999,1999,0.0,2,2,2,560,1431,0,1431,0,1431,2,2,6,0,5,1999.0,0,2,666,0,35,3,2862,10,10,67.08595387840671,192000
24.0,7,2004,2004,50.0,2,2,2,0,970,0,970,739,1709,2,2,7,0,5,2004.0,2,2,380,0,40,2,2679,2,2,48.52556924225457,130000
60.0,5,1972,1972,0.0,3,1,3,390,864,4,864,0,864,1,3,5,0,5,1989.0,2,1,352,0,0,1,1728,36,36,73.49537037037037,127000
24.0,6,1976,1976,0.0,3,1,2,566,855,4,855,601,1456,2,3,7,1,4,1976.0,2,2,440,87,0,3,2311,33,33,64.25789701427954,148500
79.0,7,2007,2007,205.0,0,2,0,1126,1726,0,1726,0,1726,2,0,8,1,2,2007.0,0,3,786,171,138,3,3452,0,0,90.34530706836617,311872
174.0,8,1918,1990,0.0,2,2,3,1036,1360,2,1360,1360,3112,2,2,8,1,0,1918.0,2,2,795,0,16,4,4472,88,16,52.54919499105546,235000
92.0,6,1912,1950,0.0,3,1,3,0,755,0,929,929,2229,1,3,8,0,5,1980.0,2,0,0,0,198,1,2984,97,59,34.85254691689008,104000
76.0,8,2004,2005,262.0,2,2,0,1088,1713,0,1713,0,1713,2,0,7,1,2,2004.0,0,3,856,0,26,3,3426,5,4,80.2393461762989,274900
80.0,4,2003,2004,0.0,3,2,2,0,1121,0,1121,0,1121,2,3,5,0,5,2003.0,1,2,440,132,64,2,2242,7,6,62.44424620874219,140000
75.0,6,1977,1977,0.0,3,1,3,641,1196,4,1279,0,1279,2,3,6,2,1,1980.0,2,2,473,238,83,3,2475,31,31,69.29292929292929,171500
50.0,6,1924,1950,0.0,3,0,1,617,617,2,865,445,1310,2,3,6,0,5,1924.0,2,1,398,0,0,2,1927,82,56,58.12143227815257,112000
69.0,6,2004,2004,205.0,2,2,2,662,848,0,848,0,848,1,2,3,1,2,2004.0,1,2,420,149,0,2,1696,4,4,87.85377358490567,149000
50.0,5,1947,1950,0.0,3,1,3,312,720,4,720,564,1284,1,3,5,0,5,1948.0,2,1,240,0,35,2,2004,62,59,54.89021956087824,110000
99.0,7,1990,1990,0.0,3,2,2,0,1424,0,1442,0,1442,2,3,5,0,5,1990.0,1,2,500,0,34,2,2866,19,19,62.97976273551989,180500
40.0,5,1962,1962,0.0,3,1,3,0,1140,4,1696,0,1696,1,3,8,1,4,1962.0,1,1,349,0,30,2,2836,45,45,50.74047954866008,143900
69.0,4,1960,1960,0.0,3,2,3,419,1100,4,1100,0,1100,1,3,6,1,3,1960.0,1,1,312,355,0,2,2200,48,48,64.0909090909091,141000
69.0,7,1988,1989,128.0,2,1,2,1065,1157,0,1180,882,2062,2,3,7,1,2,1988.0,0,2,454,60,55,4,3219,19,18,86.0515688101895,277000
75.0,6,1964,1964,260.0,3,1,2,787,1092,0,1092,0,1092,1,3,6,0,5,1964.0,1,2,504,0,0,2,2184,44,44,66.39194139194139,145000
67.0,5,1925,1950,0.0,3,1,3,468,864,4,864,0,864,1,3,5,0,5,1980.0,2,0,0,0,0,2,1728,83,58,56.71296296296296,98000
83.0,6,2009,2009,0.0,3,2,2,36,1212,0,1212,0,1212,2,2,6,0,5,2009.0,1,2,460,100,22,2,2424,1,1,76.73267326732673,186000
72.0,7,2009,2009,0.0,3,2,2,822,900,0,932,920,1852,2,2,7,1,4,2009.0,1,2,644,168,108,4,2752,0,0,91.81613372093024,252678
43.0,5,1995,1995,0.0,3,2,2,716,990,0,990,0,990,1,3,5,0,5,1996.0,2,2,576,224,0,2,1980,11,11,78.78787878787878,156000
69.0,6,1977,1977,153.0,3,1,2,378,689,0,689,703,1392,1,3,6,0,5,1977.0,0,1,299,0,36,2,2081,33,33,77.72705430081692,161750
72.0,5,1957,1996,64.0,3,1,3,360,1070,4,1236,0,1236,1,2,6,1,1,1957.0,2,1,447,0,0,2,2306,49,10,58.30442324371206,134450
65.0,7,2004,2004,266.0,2,2,2,946,1436,0,1436,0,1436,2,2,8,0,5,2004.0,2,2,484,139,98,3,2872,4,4,73.11977715877437,210000
57.0,4,1925,1950,0.0,3,1,3,0,686,1,810,518,1328,1,3,8,0,5,1940.0,2,1,210,0,172,1,2014,81,56,53.128103277060575,107000
69.0,7,1939,2006,312.0,2,1,3,341,798,0,1137,817,1954,1,2,8,2,4,1939.0,2,2,431,0,119,3,2752,69,2,113.19040697674419,311500
43.0,7,2005,2006,16.0,2,2,2,16,1248,0,1248,0,1248,2,2,5,0,5,2005.0,0,2,438,108,0,2,2496,1,0,67.00320512820512,167240
73.0,7,2006,2006,0.0,2,2,2,0,1498,0,1498,0,1498,2,2,5,0,5,2006.0,1,2,675,351,33,2,2996,0,0,68.39118825100134,204900
69.0,6,2002,2002,0.0,2,2,2,0,1010,0,1010,1257,2267,2,2,8,1,4,2002.0,1,2,390,120,46,3,3277,7,7,61.03143118706134,200000
85.0,6,1975,1975,0.0,3,1,2,550,713,4,811,741,1552,2,3,6,1,4,1975.0,1,2,434,209,208,4,2265,31,31,79.42604856512142,179900
70.0,4,1971,1971,0.0,3,1,3,524,864,2,864,0,864,1,3,4,0,5,1989.0,2,2,576,216,0,1,1728,38,38,56.13425925925926,97000
103.0,10,2003,2003,922.0,0,2,0,56,2392,0,2392,0,2392,2,0,8,1,0,2003.0,0,3,968,248,105,2,4784,6,6,80.7378762541806,386250
21.0,5,1971,1971,142.0,3,1,3,0,630,4,630,672,1302,2,3,6,0,5,1991.0,2,1,280,0,0,3,1932,38,38,57.971014492753625,112000
82.0,7,1995,1995,290.0,2,2,2,565,1203,0,1214,1306,2520,2,2,9,1,4,1995.0,1,3,721,224,114,3,3723,12,12,77.89417136717701,290000
21.0,6,1970,1970,127.0,3,1,3,321,483,4,483,504,987,1,3,5,0,5,1987.0,2,1,280,0,0,2,1470,38,38,72.10884353741497,106000
70.0,5,1967,1967,0.0,3,1,3,842,912,4,912,0,912,1,3,5,1,1,1974.0,2,1,336,0,0,1,1824,43,43,68.53070175438596,125000
43.0,7,2005,2006,16.0,2,2,2,16,1373,0,1555,0,1555,2,2,7,1,4,2005.0,0,2,430,143,20,2,2928,4,3,65.74453551912568,192500
73.0,6,1959,1959,220.0,3,1,3,0,1194,4,1194,0,1194,1,3,6,0,5,1959.0,1,1,312,0,0,2,2388,51,51,61.97654941373534,148000
174.0,8,1995,1996,506.0,2,2,2,689,1462,0,1490,1304,2794,2,0,9,1,4,1995.0,0,3,810,0,146,4,4256,14,13,94.68984962406014,403000
21.0,6,1972,1972,297.0,3,1,3,0,483,4,483,504,987,1,3,5,1,3,1972.0,2,1,288,0,0,2,1470,34,34,64.28571428571429,94500
75.0,5,1976,1976,0.0,3,1,3,182,894,4,894,0,894,1,3,5,0,5,1976.0,2,1,308,365,0,2,1788,34,34,71.70022371364654,128200
69.0,6,2002,2002,0.0,2,2,2,625,860,0,860,1100,1960,2,2,8,2,4,2002.0,0,2,440,288,48,4,2820,8,8,76.77304964539007,216500
21.0,6,1971,1971,604.0,3,1,3,358,483,4,483,504,987,1,3,5,0,5,1971.0,2,1,264,0,0,2,1470,37,37,60.8843537414966,89500
65.0,7,2004,2004,98.0,2,2,2,24,1414,0,1414,0,1414,2,2,6,0,5,2004.0,1,2,494,132,105,2,2828,6,6,65.5940594059406,185500
69.0,7,1993,2003,0.0,2,2,2,402,996,0,1014,730,1744,2,2,7,0,5,1993.0,1,2,457,370,70,3,2740,17,7,70.98540145985402,194500
93.0,8,2007,2007,254.0,0,2,0,0,1694,0,1694,0,1694,2,2,7,0,5,2007.0,0,3,818,168,228,2,3388,0,0,93.86068476977567,318000
52.0,6,1945,1950,0.0,3,1,3,94,735,4,798,689,1487,1,3,7,1,2,1949.0,2,1,220,0,140,2,2222,65,60,50.85508550855086,113000
75.0,8,2008,2008,36.0,2,2,2,1078,1566,0,1566,0,1566,2,2,7,0,5,2008.0,1,2,750,144,168,3,3132,2,2,83.81226053639847,262500
40.0,5,1945,1997,0.0,3,1,3,329,686,2,866,0,866,1,2,4,0,5,1980.0,2,0,0,58,42,1,1552,62,10,71.19845360824742,110500
63.0,5,1900,1950,0.0,3,0,3,0,540,2,889,551,1440,1,3,6,0,5,1940.0,2,1,352,0,0,1,1980,106,56,39.898989898989896,79000
75.0,6,1980,1980,0.0,3,1,2,0,626,4,626,591,1217,1,3,6,1,4,1980.0,1,1,288,0,28,2,1843,29,29,65.11123168746609,120000
69.0,7,1994,2002,0.0,2,2,2,695,948,0,1222,888,2110,2,2,8,2,1,1994.0,1,2,463,0,130,4,3058,16,8,67.0372792674951,205000
80.0,7,1988,1988,102.0,3,1,2,929,1845,2,1872,0,1872,2,3,6,1,4,1988.0,0,2,604,197,39,3,3717,18,18,64.97175141242938,241500
69.0,6,1910,1950,0.0,3,4,1,0,1020,2,908,1020,1928,2,1,9,0,5,1910.0,2,1,440,0,60,2,2948,96,56,46.47218453188602,137000
75.0,6,1954,1954,0.0,3,1,3,0,1367,0,1375,0,1375,1,3,5,1,4,1954.0,2,2,451,0,30,1,2742,52,52,51.05762217359592,140000
72.0,7,2003,2003,101.0,2,2,2,0,840,0,840,828,1668,2,2,8,0,5,2003.0,1,2,500,144,68,3,2508,4,4,71.77033492822966,180000
69.0,6,1958,2006,472.0,2,1,2,697,1444,2,1444,700,2144,2,2,7,2,4,1958.0,0,2,389,0,98,3,3588,49,1,77.20178372352285,277000
55.0,3,1940,1966,0.0,3,1,3,0,728,0,1306,0,1306,1,1,6,0,5,1980.0,2,0,0,263,0,1,2034,70,44,37.610619469026545,76500
44.0,8,2006,2007,481.0,2,2,2,1573,1573,0,1625,0,1625,2,2,5,1,2,2006.0,0,2,538,123,0,4,3198,1,0,73.48342714196373,235000
65.0,6,2004,2004,0.0,2,2,2,0,798,0,798,842,1640,2,2,6,0,5,2004.0,1,2,520,138,45,3,2438,4,4,70.95980311730926,173000
85.0,6,1964,1991,108.0,3,1,2,270,1302,0,1302,0,1302,2,2,7,0,5,1964.0,1,1,309,333,0,3,2604,43,16,60.675883256528415,158000
70.0,5,1957,1957,0.0,3,1,3,922,1314,4,1314,0,1314,1,3,5,0,5,1957.0,1,1,294,250,0,2,2628,53,53,55.17503805175038,145000
66.0,7,1999,1999,302.0,2,2,2,0,975,0,1005,1286,2291,2,2,8,1,4,1999.0,0,2,429,192,0,3,3266,7,7,70.4225352112676,230000
64.0,6,2003,2003,0.0,2,2,2,503,864,0,864,864,1728,2,2,7,0,5,2003.0,1,2,673,216,56,3,2592,5,5,80.05401234567901,207500
68.0,7,2006,2006,180.0,2,2,2,1334,1604,0,1604,0,1604,2,2,8,1,2,2006.0,1,2,660,123,110,4,3208,3,3,68.5785536159601,220000
80.0,7,2001,2001,172.0,2,2,2,361,963,0,963,829,1792,2,2,7,1,4,2001.0,1,2,564,0,96,3,2755,7,7,84.02903811252268,231500
70.0,5,1956,1956,0.0,3,2,3,0,0,2,882,0,882,1,3,4,0,5,1956.0,2,1,308,0,45,1,882,52,52,109.97732426303855,97000
120.0,6,1962,1962,399.0,3,1,3,672,1362,4,1382,0,1382,1,3,6,1,4,1991.0,2,2,884,0,0,2,2744,47,47,64.1399416909621,176000
69.0,8,2007,2007,270.0,2,2,0,0,1482,0,1482,1092,2574,2,0,10,1,2,2007.0,0,3,868,0,148,3,4056,0,0,68.04733727810651,276000
88.0,6,1977,1995,46.0,3,1,2,506,506,4,1212,0,1212,1,3,6,1,4,1978.0,2,2,492,292,12,2,1718,29,11,87.8928987194412,151000
50.0,5,1929,2001,0.0,3,0,3,234,926,4,926,0,1316,1,3,6,0,5,1974.0,2,2,484,0,0,2,2242,81,9,57.983942908117754,130000
30.0,5,1925,2004,0.0,3,0,1,0,680,2,764,0,764,1,3,4,0,5,1965.0,2,2,504,0,0,1,1444,83,4,50.554016620498615,73000
78.0,6,1981,1981,210.0,3,1,2,588,1422,4,1422,0,1422,2,2,7,1,4,1981.0,0,2,576,276,0,2,2844,27,27,61.70886075949367,175500
70.0,6,1997,1997,0.0,3,2,2,714,802,2,802,709,1511,2,3,8,1,4,1997.0,0,2,413,95,75,4,2313,9,9,79.98270644185041,185000
60.0,5,1939,1997,0.0,3,2,3,378,720,0,1052,720,2192,2,2,8,1,2,1939.0,2,1,240,262,24,3,2912,69,11,61.64148351648352,179500
71.0,5,1940,1955,0.0,3,1,3,403,740,0,778,0,778,1,3,4,1,2,1966.0,0,1,924,0,25,1,1518,68,53,79.38076416337286,120500
69.0,6,1976,1976,174.0,3,1,3,751,1143,4,1113,0,1113,1,3,6,1,1,1987.0,1,1,504,370,30,3,2256,31,31,65.60283687943263,148000
84.0,8,2006,2006,0.0,2,2,2,0,1095,2,1095,844,1939,2,2,8,1,2,2006.0,1,3,1053,192,51,3,3034,0,0,87.67303889255109,266000
73.0,7,1954,2005,0.0,3,1,2,226,1385,0,1363,0,1363,1,3,5,2,4,1954.0,2,2,439,81,0,2,2748,54,3,87.882096069869,241500
92.0,8,1999,2007,348.0,2,2,2,524,1152,0,1164,1106,2270,2,2,9,1,2,1999.0,0,3,671,132,57,3,3422,11,3,84.7457627118644,290000
80.0,6,1958,1988,183.0,3,1,3,620,1240,2,1632,0,1632,2,3,6,1,2,1958.0,1,1,338,289,0,3,2872,51,21,48.3983286908078,139000
76.0,5,1982,1982,0.0,3,1,3,546,816,4,816,0,816,1,3,5,0,5,1982.0,2,1,264,168,0,1,1632,25,25,76.28676470588235,124500
55.0,7,1925,2007,0.0,2,0,3,0,952,2,952,596,1548,2,0,5,0,5,1978.0,2,2,672,74,0,3,2500,84,2,82.0,205000
129.0,7,2003,2003,0.0,2,2,0,0,1560,0,1560,0,1560,2,2,7,0,5,2003.0,0,2,573,100,150,2,3120,7,7,64.42307692307692,201000
140.0,4,1951,1951,0.0,3,1,3,120,864,0,864,0,864,1,3,4,0,5,1951.0,2,2,400,0,0,1,1728,59,59,81.59722222222223,141000
107.0,9,2006,2007,315.0,0,2,0,0,2121,0,2121,0,2121,2,0,8,1,0,2007.0,0,3,732,124,98,3,4242,1,0,97.9014615747289,415298
83.0,7,1977,1977,299.0,3,1,2,392,1160,0,1156,866,2022,2,3,8,1,4,1977.0,0,2,505,288,117,3,3182,31,31,60.33940917661848,192000
82.0,7,1989,1989,340.0,2,1,2,421,807,2,1175,807,1982,2,2,7,1,4,1989.0,0,2,575,0,84,3,2789,18,18,81.9290068124776,228500
60.0,6,2006,2006,68.0,2,2,2,905,1262,2,1262,0,1262,2,2,5,0,5,2006.0,0,2,572,0,120,2,2524,0,0,73.29635499207608,185000
34.0,7,2007,2008,166.0,2,2,2,904,1314,0,1314,0,1314,2,2,6,1,2,2008.0,1,2,626,172,62,3,2628,2,1,78.95738203957382,207500
74.0,8,2008,2009,72.0,2,2,2,0,1468,0,1468,0,1468,2,2,6,1,2,2008.0,0,3,898,210,150,2,2936,1,0,83.31062670299727,244600
50.0,6,1992,1992,0.0,2,2,2,430,1575,2,1575,0,1575,2,2,5,0,5,1992.0,1,2,529,0,0,3,3150,15,15,56.888888888888886,179200
35.0,7,2006,2007,0.0,2,2,2,0,625,0,625,625,1250,2,2,5,0,5,2006.0,1,2,528,0,54,3,1875,1,0,87.84,164700
77.0,6,1962,1981,0.0,3,1,3,600,912,4,1085,649,1734,1,2,7,1,2,1962.0,1,2,440,0,0,2,2646,44,25,60.090702947845806,159000
69.0,4,1971,1971,0.0,3,1,3,614,858,4,858,0,858,1,3,5,0,5,1980.0,2,0,0,0,0,1,1716,35,35,51.282051282051285,88000
69.0,5,1967,1967,31.0,3,1,3,450,882,4,900,0,900,1,3,5,0,5,1970.0,2,1,280,0,0,1,1782,43,43,68.46240179573513,122000
60.0,6,1915,2003,0.0,3,0,3,0,698,0,698,698,1396,1,3,7,0,5,2003.0,2,1,384,0,0,1,2094,92,4,73.34049665711557,153575
120.0,8,2006,2006,0.0,2,2,2,0,1079,0,1079,840,1919,2,2,8,1,2,2006.0,1,2,685,0,51,3,2998,0,0,77.79519679786524,233230
55.0,5,1912,2000,0.0,3,2,3,210,780,0,936,780,1716,2,1,9,0,5,1980.0,2,0,0,0,184,3,2496,96,8,54.44711538461539,135900
60.0,5,1949,2008,0.0,3,1,3,292,768,2,1148,568,1716,1,3,8,1,2,1949.0,2,1,281,0,0,2,2484,60,1,52.73752012882448,131000
69.0,7,1977,1994,34.0,3,1,3,795,795,1,1468,795,2263,2,2,9,1,4,1977.0,0,2,539,0,250,4,3058,29,12,76.84761281883584,235000
80.0,6,1953,1953,238.0,3,1,3,1285,1416,4,1644,0,1644,1,3,7,2,2,1953.0,0,2,418,110,0,2,3060,56,56,54.57516339869281,167000
37.0,6,1984,1984,0.0,3,1,3,819,1003,4,1003,0,1003,1,3,6,0,5,1984.0,2,2,588,120,0,2,2006,22,22,71.036889332004,142500
75.0,5,1950,1950,0.0,3,1,3,420,910,4,910,648,1558,1,3,6,0,5,1950.0,2,1,282,289,0,2,2468,57,57,61.58833063209076,152000
66.0,7,1997,1998,1600.0,2,2,2,649,975,0,975,975,1950,2,2,7,1,4,1997.0,1,2,576,0,10,3,2925,10,9,81.7094017094017,239000
90.0,6,1968,1968,365.0,2,1,3,384,702,2,1041,702,1743,1,3,7,1,2,1968.0,2,2,539,224,0,4,2445,39,39,71.57464212678937,175000
80.0,6,1950,2004,0.0,3,1,3,0,1092,0,1152,0,1152,1,2,6,1,2,1950.0,2,1,300,0,36,2,2244,59,5,70.63279857397504,158500
90.0,5,1953,1953,56.0,3,1,3,841,1165,4,1336,0,1336,1,3,5,2,2,1953.0,2,1,375,0,0,2,2501,53,53,62.77489004398241,157000
66.0,8,1998,1999,0.0,2,2,2,281,1028,0,1210,1242,2452,2,2,9,1,4,1998.0,0,2,683,208,50,3,3480,9,8,76.72413793103448,267000
118.0,7,2001,2002,150.0,2,2,2,0,1541,0,1541,0,1541,2,2,6,1,4,2001.0,1,3,843,468,81,2,3082,5,4,66.51524983776768,205000
70.0,5,1972,1972,0.0,3,2,3,894,894,4,894,0,894,1,3,5,0,5,1975.0,2,2,552,256,0,2,1788,34,34,83.83668903803132,149900
87.0,7,1880,2002,0.0,3,0,3,0,1470,0,1675,1818,3493,3,2,10,1,0,2003.0,2,3,870,302,0,3,4963,128,6,59.43985492645577,295000
80.0,8,2004,2005,246.0,2,2,2,1464,2000,0,2000,0,2000,2,2,8,0,5,2004.0,0,3,888,168,0,3,4000,3,2,76.475,305900
116.0,7,1990,1991,246.0,2,1,2,700,700,2,1122,1121,2243,2,2,8,1,4,1990.0,1,3,746,127,44,4,2943,17,16,76.4525993883792,225000
69.0,6,1920,1950,0.0,3,1,3,0,319,4,1035,371,1406,1,1,6,0,5,1980.0,2,0,0,0,144,1,1725,88,58,51.88405797101449,89500
69.0,4,1940,1950,0.0,3,1,3,262,861,0,861,0,861,1,3,4,0,5,1961.0,2,2,539,158,0,1,1722,69,59,47.90940766550523,82500
90.0,9,2003,2004,0.0,2,2,0,1274,1896,0,1944,0,1944,2,0,8,3,0,2003.0,0,3,708,208,175,3,3840,3,2,93.75,360000
69.0,6,1993,1994,112.0,3,2,2,518,697,2,697,804,1501,2,2,6,1,4,1993.0,0,2,420,190,63,3,2198,13,12,75.34121929026388,165600
50.0,6,1948,2002,0.0,3,1,3,680,972,0,972,0,972,1,3,5,1,2,1948.0,2,1,240,0,0,2,1944,61,7,67.90123456790124,132000
65.0,5,1939,1950,0.0,3,1,2,507,793,4,793,325,1118,1,3,5,1,2,1939.0,2,2,410,0,0,2,1911,67,56,62.74201988487703,119900
150.0,7,1965,1965,0.0,3,1,2,1236,2136,4,2036,0,2036,2,3,8,2,2,1965.0,1,2,513,0,0,4,4172,44,44,89.88494726749761,375000
60.0,7,1925,1990,0.0,3,0,3,16,728,0,832,809,1641,1,0,6,1,2,1925.0,2,2,546,0,0,3,2369,81,16,75.1371886872098,178000
71.0,7,2004,2005,0.0,2,2,2,425,716,0,716,716,1432,2,2,6,1,2,2004.0,0,2,432,100,51,4,2148,5,4,87.75605214152701,188500
94.0,7,1980,1980,278.0,2,1,2,692,845,4,1153,1200,2353,2,0,10,1,4,1983.0,1,2,484,288,195,4,3198,29,29,81.30081300813008,260000
75.0,8,2006,2006,0.0,2,2,2,0,1088,0,1088,871,1959,2,2,8,1,2,2006.0,1,3,1025,208,46,3,3047,1,1,88.61174926156876,270000
90.0,7,1993,1993,256.0,2,2,2,987,1347,0,1372,1274,2646,2,2,9,1,4,1993.0,1,3,656,340,60,4,3993,16,16,65.11394941147007,260000
69.0,7,1980,1980,225.0,3,1,2,1036,1372,4,1472,0,1472,2,3,6,2,4,1980.0,2,2,588,233,48,3,2844,29,29,65.92827004219409,187500
111.0,9,2006,2006,370.0,3,2,0,0,1249,0,1249,1347,2596,3,2,9,0,5,2006.0,1,3,840,240,154,4,3845,0,0,89.11391417425227,342643
99.0,8,2004,2004,388.0,2,2,0,970,1136,0,1136,1332,2468,2,2,10,1,2,2004.0,0,3,872,184,154,4,3604,3,3,98.22419533851276,354000
86.0,7,1986,1987,172.0,2,1,3,28,1502,0,1553,1177,2730,2,2,8,1,4,1987.0,0,2,576,201,96,4,4232,21,20,71.12476370510397,301000
49.0,3,1955,2005,0.0,3,1,3,256,1162,0,1163,0,1163,1,3,6,0,5,1955.0,2,1,220,142,98,2,2325,51,1,54.26881720430107,126175
96.0,7,1967,2007,300.0,2,1,2,0,710,0,1898,1080,2978,2,2,11,1,2,1961.0,0,2,564,240,0,3,3688,43,3,65.6182212581345,242000
50.0,5,1941,1950,0.0,3,1,3,116,720,3,803,0,803,1,3,5,0,5,1941.0,2,2,360,0,0,1,1523,66,57,57.124097176625085,87000
32.0,8,1993,1993,0.0,2,2,2,1619,1719,0,1719,0,1719,1,2,6,2,2,1993.0,0,2,473,122,30,4,3438,15,15,94.24083769633508,324000
80.0,6,1960,1960,175.0,3,1,3,565,1383,4,1383,0,1383,1,3,7,0,5,1960.0,1,1,292,0,45,2,2766,46,46,52.51265365148228,145250
69.0,6,1916,1994,0.0,3,0,3,0,844,2,1445,689,2134,2,2,10,0,5,1930.0,2,2,441,0,60,2,2978,93,15,72.02820685023505,214500
60.0,5,1920,1950,0.0,3,2,3,0,596,4,596,596,1192,1,3,6,0,5,1920.0,2,1,189,0,0,1,1788,89,59,43.624161073825505,78000
69.0,5,1964,1964,84.0,3,1,3,40,1728,4,1728,0,1728,2,3,10,0,5,2002.0,2,1,352,155,0,3,3456,43,43,34.432870370370374,119000
70.0,5,1958,1992,0.0,3,1,3,846,1056,1,1056,0,1056,1,3,6,0,5,1958.0,1,1,308,0,0,2,2112,49,15,65.81439393939394,139000
85.0,8,2003,2004,296.0,2,2,2,1124,3206,0,1629,0,1629,2,2,7,1,2,2003.0,1,3,880,0,0,3,4835,6,5,58.73836608066184,284000
59.0,7,2004,2004,146.0,2,2,2,720,1358,0,1358,0,1358,2,2,6,1,2,2004.0,1,2,484,192,30,3,2716,4,4,76.21502209131076,207000
59.0,6,1998,1998,0.0,3,2,2,828,943,2,943,695,1638,2,3,7,2,4,1998.0,0,2,472,100,38,4,2581,10,10,74.38977140643162,192000
